#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.NumberOfPersSetupPDCCHs
#  Description: Number of Persistent Setup PDCCHs
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: +infinity
#  Maximum: -infinity
#  Trials: 0
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 100
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000000
#  P02: 0.0000000
#  P03: 0.0000000
#  P04: 0.0000000
#  P05: 0.0000000
#  P06: 0.0000000
#  P07: 0.0000000
#  P08: 0.0000000
#  P09: 0.0000000
#  P10: 0.0000000
#  P11: 0.0000000
#  P12: 0.0000000
#  P13: 0.0000000
#  P14: 0.0000000
#  P15: 0.0000000
#  P16: 0.0000000
#  P17: 0.0000000
#  P18: 0.0000000
#  P19: 0.0000000
#  P20: 0.0000000
#  P21: 0.0000000
#  P22: 0.0000000
#  P23: 0.0000000
#  P24: 0.0000000
#  P25: 0.0000000
#  P26: 0.0000000
#  P27: 0.0000000
#  P28: 0.0000000
#  P29: 0.0000000
#  P30: 0.0000000
#  P31: 0.0000000
#  P32: 0.0000000
#  P33: 0.0000000
#  P34: 0.0000000
#  P35: 0.0000000
#  P36: 0.0000000
#  P37: 0.0000000
#  P38: 0.0000000
#  P39: 0.0000000
#  P40: 0.0000000
#  P41: 0.0000000
#  P42: 0.0000000
#  P43: 0.0000000
#  P44: 0.0000000
#  P45: 0.0000000
#  P46: 0.0000000
#  P47: 0.0000000
#  P48: 0.0000000
#  P49: 0.0000000
#  P50: 0.0000000
#  P51: 0.0000000
#  P52: 0.0000000
#  P53: 0.0000000
#  P54: 0.0000000
#  P55: 0.0000000
#  P56: 0.0000000
#  P57: 0.0000000
#  P58: 0.0000000
#  P59: 0.0000000
#  P60: 0.0000000
#  P61: 0.0000000
#  P62: 0.0000000
#  P63: 0.0000000
#  P64: 0.0000000
#  P65: 0.0000000
#  P66: 0.0000000
#  P67: 0.0000000
#  P68: 0.0000000
#  P69: 0.0000000
#  P70: 0.0000000
#  P71: 0.0000000
#  P72: 0.0000000
#  P73: 0.0000000
#  P74: 0.0000000
#  P75: 0.0000000
#  P76: 0.0000000
#  P77: 0.0000000
#  P78: 0.0000000
#  P79: 0.0000000
#  P80: 0.0000000
#  P81: 0.0000000
#  P82: 0.0000000
#  P83: 0.0000000
#  P84: 0.0000000
#  P85: 0.0000000
#  P86: 0.0000000
#  P87: 0.0000000
#  P88: 0.0000000
#  P89: 0.0000000
#  P90: 0.0000000
#  P91: 0.0000000
#  P92: 0.0000000
#  P93: 0.0000000
#  P94: 0.0000000
#  P95: 0.0000000
#  P96: 0.0000000
#  P97: 0.0000000
#  P98: 0.0000000
#  P99: 0.0000000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       0.0000000       0.0000000     0
1.0000000           0.0000000       0.0000000       0.0000000     1
2.0000000           0.0000000       0.0000000       0.0000000     2
3.0000000           0.0000000       0.0000000       0.0000000     3
4.0000000           0.0000000       0.0000000       0.0000000     4
5.0000000           0.0000000       0.0000000       0.0000000     5
6.0000000           0.0000000       0.0000000       0.0000000     6
7.0000000           0.0000000       0.0000000       0.0000000     7
8.0000000           0.0000000       0.0000000       0.0000000     8
9.0000000           0.0000000       0.0000000       0.0000000     9
10.0000000          0.0000000       0.0000000       0.0000000    10
11.0000000          0.0000000       0.0000000       0.0000000    11
12.0000000          0.0000000       0.0000000       0.0000000    12
13.0000000          0.0000000       0.0000000       0.0000000    13
14.0000000          0.0000000       0.0000000       0.0000000    14
15.0000000          0.0000000       0.0000000       0.0000000    15
16.0000000          0.0000000       0.0000000       0.0000000    16
17.0000000          0.0000000       0.0000000       0.0000000    17
18.0000000          0.0000000       0.0000000       0.0000000    18
19.0000000          0.0000000       0.0000000       0.0000000    19
20.0000000          0.0000000       0.0000000       0.0000000    20
21.0000000          0.0000000       0.0000000       0.0000000    21
22.0000000          0.0000000       0.0000000       0.0000000    22
23.0000000          0.0000000       0.0000000       0.0000000    23
24.0000000          0.0000000       0.0000000       0.0000000    24
25.0000000          0.0000000       0.0000000       0.0000000    25
26.0000000          0.0000000       0.0000000       0.0000000    26
27.0000000          0.0000000       0.0000000       0.0000000    27
28.0000000          0.0000000       0.0000000       0.0000000    28
29.0000000          0.0000000       0.0000000       0.0000000    29
30.0000000          0.0000000       0.0000000       0.0000000    30
31.0000000          0.0000000       0.0000000       0.0000000    31
32.0000000          0.0000000       0.0000000       0.0000000    32
33.0000000          0.0000000       0.0000000       0.0000000    33
34.0000000          0.0000000       0.0000000       0.0000000    34
35.0000000          0.0000000       0.0000000       0.0000000    35
36.0000000          0.0000000       0.0000000       0.0000000    36
37.0000000          0.0000000       0.0000000       0.0000000    37
38.0000000          0.0000000       0.0000000       0.0000000    38
39.0000000          0.0000000       0.0000000       0.0000000    39
40.0000000          0.0000000       0.0000000       0.0000000    40
41.0000000          0.0000000       0.0000000       0.0000000    41
42.0000000          0.0000000       0.0000000       0.0000000    42
43.0000000          0.0000000       0.0000000       0.0000000    43
44.0000000          0.0000000       0.0000000       0.0000000    44
45.0000000          0.0000000       0.0000000       0.0000000    45
46.0000000          0.0000000       0.0000000       0.0000000    46
47.0000000          0.0000000       0.0000000       0.0000000    47
48.0000000          0.0000000       0.0000000       0.0000000    48
49.0000000          0.0000000       0.0000000       0.0000000    49
50.0000000          0.0000000       0.0000000       0.0000000    50
51.0000000          0.0000000       0.0000000       0.0000000    51
52.0000000          0.0000000       0.0000000       0.0000000    52
53.0000000          0.0000000       0.0000000       0.0000000    53
54.0000000          0.0000000       0.0000000       0.0000000    54
55.0000000          0.0000000       0.0000000       0.0000000    55
56.0000000          0.0000000       0.0000000       0.0000000    56
57.0000000          0.0000000       0.0000000       0.0000000    57
58.0000000          0.0000000       0.0000000       0.0000000    58
59.0000000          0.0000000       0.0000000       0.0000000    59
60.0000000          0.0000000       0.0000000       0.0000000    60
61.0000000          0.0000000       0.0000000       0.0000000    61
62.0000000          0.0000000       0.0000000       0.0000000    62
63.0000000          0.0000000       0.0000000       0.0000000    63
64.0000000          0.0000000       0.0000000       0.0000000    64
65.0000000          0.0000000       0.0000000       0.0000000    65
66.0000000          0.0000000       0.0000000       0.0000000    66
67.0000000          0.0000000       0.0000000       0.0000000    67
68.0000000          0.0000000       0.0000000       0.0000000    68
69.0000000          0.0000000       0.0000000       0.0000000    69
70.0000000          0.0000000       0.0000000       0.0000000    70
